customer_count,vehicle_capacity,instance_name,timing_variant,source_folder,selected_run_timestamp,run_folder_count,run_classification,algorithm,timing_model,base_timing_model,timing_repair_model,fixed_timing_repair_scope,depot_ready_time,depot_ready_time_label,outbound_departure_time,working_day_end_time,working_day_end_time_label,service_time_per_customer_hours_estimate,average_speed_estimate,depot_handling_time,n_suppliers,direct_delivery_threshold,seed,grid_size,n_supplier_direct_customers,n_depot_customers,supplier_direct_routing_scope,depot_routing_scope,customer_delivery_distance,supplier_depot_replenishment_distance,total_system_distance,pre_repair_customer_delivery_distance,post_repair_customer_delivery_distance,pre_repair_total_system_distance,post_repair_total_system_distance,pre_repair_depot_outbound_distance,post_repair_depot_outbound_distance,depot_outbound_distance_change_after_repair,distance_change_after_repair,distance_change_after_repair_pct,matched_fixed_total_system_distance,split_vs_fixed_total_system_distance_delta,split_vs_fixed_total_system_distance_delta_pct,total_routes,pre_repair_total_routes,post_repair_total_routes,depot_routes,pre_repair_depot_routes,post_repair_depot_routes,route_count_change_after_repair,depot_route_count_change_after_repair,routes_added_by_repair,timing_routes_checked,timing_feasible_routes,timing_infeasible_routes,pre_repair_timing_infeasible_routes,post_repair_timing_infeasible_routes,infeasible_route_change_after_repair,infeasible_timing_route_ids,infeasible_timing_customers,latest_finish_time,latest_finish_time_label,pre_repair_latest_finish_time,pre_repair_latest_finish_time_label,post_repair_latest_finish_time,post_repair_latest_finish_time_label,max_route_duration,avg_route_duration,repair_attempts,successful_repairs,unresolved_repairs,unresolved_infeasible_route_ids,unresolved_customers,overall_timing_feasible,depot_timing_feasibility,capacity_feasible,customer_coverage_feasible,supplier_feasible,structural_validity,avg_utilisation,min_utilisation,max_utilisation,depot_avg_utilisation,route_records_count,pre_repair_route_records_count,repair_records_count,best_n_remove,tested_n_remove_values,n_remove_applicability,notes_or_warnings
40,35,40c_cap35,fixed_timing,results/hybrid_supplier_customer_kmeans_timing_fixed_v1,run_2026_07_16_170804,1,main,hybrid_supplier_customer_kmeans_timing_fixed_v1,fixed_depot_ready_time,,,,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,20,15,25,supplier_region,global_depot_pool,204.62300192541986,48.0,252.62300192541986,204.62300192541986,,252.62300192541986,,,,,,,252.62300192541986,,,7,7,,3,3,,,,,3,3,0,0,,,[],[],12.729096175212952,12:44,12.729096175212952,12:44,,,3.729096175212952,2.450580548200115,,,,,,True,True,True,True,True,True,0.5714285714285714,0.17142857142857143,1.0,0.5238095238095238,3,3,0,,,not_applicable_section_6_5_is_not_lns,
40,35,40c_cap35,fixed_timing_split_repair,results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1,run_2026_07_16_191000,2,main,hybrid_supplier_customer_kmeans_timing_fixed_split_v1,fixed_depot_ready_time_with_half_split_repair,fixed_depot_ready_time,close_to_half_split_with_2opt,depot routes only after post-relocation 2-opt,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,20,15,25,supplier_region,global_depot_pool,204.62300192541986,48.0,252.62300192541986,204.62300192541986,204.62300192541986,252.62300192541986,252.62300192541986,95.55224933801034,95.55224933801034,0.0,0.0,0.0,252.62300192541986,0.0,0.0,7,3,7,3,3,3,4.0,0.0,0.0,3,3,0,0,0,0.0,[],[],12.729096175212952,12:44,12.729096175212952,12:44,12.729096175212952,12:44,3.729096175212952,2.450580548200115,0,0,0,[],,True,True,True,True,True,True,0.5714285714285714,0.17142857142857143,1.0,0.5238095238095238,3,3,3,,,not_applicable_section_6_5_is_not_lns,
60,15,60c_cap15,fixed_timing,results/hybrid_supplier_customer_kmeans_timing_fixed_v1,run_2026_07_16_170805,1,main,hybrid_supplier_customer_kmeans_timing_fixed_v1,fixed_depot_ready_time,,,,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,30,25,35,supplier_region,global_depot_pool,662.5752543717753,192.0,854.5752543717753,662.5752543717753,,854.5752543717753,,,,,,,854.5752543717753,,,18,18,,6,6,,,,,6,6,0,0,,,[],[],12.347542542026135,12:21,12.347542542026135,12:21,,,3.3475425420261344,2.4123463212098475,,,,,,True,True,True,True,True,True,0.8222222222222222,0.7333333333333333,1.0,0.9222222222222222,6,6,0,,,not_applicable_section_6_5_is_not_lns,
60,15,60c_cap15,fixed_timing_split_repair,results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1,run_2026_07_16_191000,2,main,hybrid_supplier_customer_kmeans_timing_fixed_split_v1,fixed_depot_ready_time_with_half_split_repair,fixed_depot_ready_time,close_to_half_split_with_2opt,depot routes only after post-relocation 2-opt,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,30,25,35,supplier_region,global_depot_pool,662.5752543717753,192.0,854.5752543717753,662.5752543717753,662.5752543717753,854.5752543717753,854.5752543717753,259.22233781777254,259.22233781777254,0.0,0.0,0.0,854.5752543717753,0.0,0.0,18,6,18,6,6,6,12.0,0.0,0.0,6,6,0,0,0,0.0,[],[],12.347542542026135,12:21,12.347542542026135,12:21,12.347542542026135,12:21,3.3475425420261344,2.4123463212098475,0,0,0,[],,True,True,True,True,True,True,0.8222222222222222,0.7333333333333333,1.0,0.9222222222222222,6,6,6,,,not_applicable_section_6_5_is_not_lns,
60,25,60c_cap25,fixed_timing,results/hybrid_supplier_customer_kmeans_timing_fixed_v1,run_2026_07_16_170805,1,main,hybrid_supplier_customer_kmeans_timing_fixed_v1,fixed_depot_ready_time,,,,9.0,09:00,9.0,18.0,18:00,0.16666666666666669,30.0,not_applicable_fixed_timing,3,5,42,30,25,35,supplier_region,global_depot_pool,490.5700029166522,120.0,610.5700029166521,490.5700029166522,,610.5700029166521,,,,,,,610.5700029166521,,,11,11,,4,4,,,,,4,4,0,0,,,[],[],12.962627692054134,12:58,12.962627692054134,12:58,,,3.9626276920541335,3.278112816275666,,,,,,True,True,True,True,True,True,0.8072727272727271,0.44,1.0,0.8300000000000001,4,4,0,,,not_applicable_section_6_5_is_not_lns,
60,25,60c_cap25,fixed_timing_split_repair,results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1,run_2026_07_16_191000,2,main,hybrid_supplier_customer_kmeans_timing_fixed_split_v1,fixed_depot_ready_time_with_half_split_repair,fixed_depot_ready_time,close_to_half_split_with_2opt,depot routes only after post-relocation 2-opt,9.0,09:00,9.0,18.0,18:00,0.16666666666666669,30.0,not_applicable_fixed_timing,3,5,42,30,25,35,supplier_region,global_depot_pool,490.5700029166522,120.0,610.5700029166521,490.5700029166522,490.5700029166522,610.5700029166521,610.5700029166521,218.37353795307993,218.37353795307993,0.0,0.0,0.0,610.5700029166521,0.0,0.0,11,4,11,4,4,4,7.0,0.0,0.0,4,4,0,0,0,0.0,[],[],12.962627692054134,12:58,12.962627692054134,12:58,12.962627692054134,12:58,3.9626276920541335,3.278112816275666,0,0,0,[],,True,True,True,True,True,True,0.8072727272727271,0.44,1.0,0.8300000000000001,4,4,4,,,not_applicable_section_6_5_is_not_lns,
60,35,60c_cap35,fixed_timing,results/hybrid_supplier_customer_kmeans_timing_fixed_v1,run_2026_07_16_170806,1,main,hybrid_supplier_customer_kmeans_timing_fixed_v1,fixed_depot_ready_time,,,,9.0,09:00,9.0,18.0,18:00,0.16666666666666663,30.0,not_applicable_fixed_timing,3,5,42,30,25,35,supplier_region,global_depot_pool,413.68962645828617,72.0,485.68962645828617,413.68962645828617,,485.68962645828617,,,,,,,485.68962645828617,,,9,9,,3,3,,,,,3,3,0,0,,,[],[],13.856020913695026,13:51,13.856020913695026,13:51,,,4.856020913695026,4.155239480391253,,,,,,True,True,True,True,True,True,0.7047619047619047,0.14285714285714285,1.0,0.7904761904761904,3,3,0,,,not_applicable_section_6_5_is_not_lns,
60,35,60c_cap35,fixed_timing_split_repair,results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1,run_2026_07_16_191001,2,main,hybrid_supplier_customer_kmeans_timing_fixed_split_v1,fixed_depot_ready_time_with_half_split_repair,fixed_depot_ready_time,close_to_half_split_with_2opt,depot routes only after post-relocation 2-opt,9.0,09:00,9.0,18.0,18:00,0.16666666666666663,30.0,not_applicable_fixed_timing,3,5,42,30,25,35,supplier_region,global_depot_pool,413.68962645828617,72.0,485.68962645828617,413.68962645828617,413.68962645828617,485.68962645828617,485.68962645828617,198.97155323521284,198.97155323521284,0.0,0.0,0.0,485.68962645828617,0.0,0.0,9,3,9,3,3,3,6.0,0.0,0.0,3,3,0,0,0,0.0,[],[],13.856020913695026,13:51,13.856020913695026,13:51,13.856020913695026,13:51,4.856020913695026,4.155239480391253,0,0,0,[],,True,True,True,True,True,True,0.7047619047619047,0.14285714285714285,1.0,0.7904761904761904,3,3,3,,,not_applicable_section_6_5_is_not_lns,
80,15,80c_cap15,fixed_timing,results/hybrid_supplier_customer_kmeans_timing_fixed_v1,run_2026_07_16_170806,1,main,hybrid_supplier_customer_kmeans_timing_fixed_v1,fixed_depot_ready_time,,,,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,40,29,51,supplier_region,global_depot_pool,1079.172588688274,288.0,1367.172588688274,1079.172588688274,,1367.172588688274,,,,,,,1367.172588688274,,,24,24,,9,9,,,,,9,9,0,0,,,[],[],12.242672794487643,12:15,12.242672794487643,12:15,,,3.242672794487642,2.651760378660091,,,,,,True,True,True,True,True,True,0.7805555555555554,0.26666666666666666,1.0,0.8888888888888888,9,9,0,,,not_applicable_section_6_5_is_not_lns,
80,15,80c_cap15,fixed_timing_split_repair,results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1,run_2026_07_16_191002,2,main,hybrid_supplier_customer_kmeans_timing_fixed_split_v1,fixed_depot_ready_time_with_half_split_repair,fixed_depot_ready_time,close_to_half_split_with_2opt,depot routes only after post-relocation 2-opt,9.0,09:00,9.0,18.0,18:00,0.16666666666666666,30.0,not_applicable_fixed_timing,3,5,42,40,29,51,supplier_region,global_depot_pool,1079.172588688274,288.0,1367.172588688274,1079.172588688274,1079.172588688274,1367.172588688274,1367.172588688274,460.9753022382246,460.9753022382246,0.0,0.0,0.0,1367.172588688274,0.0,0.0,24,9,24,9,9,9,15.0,0.0,0.0,9,9,0,0,0,0.0,[],[],12.242672794487643,12:15,12.242672794487643,12:15,12.242672794487643,12:15,3.242672794487642,2.651760378660091,0,0,0,[],,True,True,True,True,True,True,0.7805555555555554,0.26666666666666666,1.0,0.8888888888888888,9,9,9,,,not_applicable_section_6_5_is_not_lns,
