routing_case,routing_case_key,clustering_strategy_used,experimental_settings_included,avg_total_system_distance,std_total_system_distance,min_total_system_distance,max_total_system_distance,avg_customer_delivery_distance,std_customer_delivery_distance,min_customer_delivery_distance,max_customer_delivery_distance,avg_routes,std_routes,min_routes,max_routes,avg_vehicle_utilisation,std_vehicle_utilisation,min_vehicle_utilisation,max_vehicle_utilisation
Case 1,case_1_supplier_depot_customer,kmeans,12,348.92486944142814,267.3991174870743,56.05228560489705,893.4672934723992,318.92486944142814,254.53015427254502,44.05228560489705,845.4672934723992,9.416666666666666,5.212891944424172,3.0,20.0,0.8154524970827491,0.10266327459987316,0.6380952380952382,0.9366666666666668
Case 2,case_2_supplier_customer_direct,kmeans,12,335.92428757517786,266.7441934625008,45.72156005665569,889.1231593454308,335.92428757517786,266.7441934625008,45.72156005665569,889.1231593454308,13.0,4.6122366887148445,9.0,24.0,0.5699785307285308,0.19438190970226302,0.21269841269841272,0.7805555555555556
Case 3,case_3_hybrid,kmeans,12,520.883132624956,399.68921771085115,97.43109878717637,1367.172588688274,413.54979929162266,315.8265744491446,73.43109878717637,1079.172588688274,11.0,5.376717484589544,6.0,24.0,0.6818793243793243,0.17028309570639413,0.319047619047619,0.8646153846153847
