customer_count,vehicle_capacity,instance_name,selected_run_timestamp,nn_distance,two_opt_distance,relocation_distance,post_relocation_two_opt_distance,improvement_nn_to_two_opt_pct,improvement_two_opt_to_relocation_pct,improvement_relocation_to_final_pct,improvement_nn_to_final_pct,final_n_routes,final_avg_utilisation,final_min_utilisation,capacity_feasible,customer_coverage_feasible,notes_or_warnings
20,15,20c_cap15_dem1-6,run_2026_07_08_175041,100.8640645057006,98.47237021681305,85.80873524593231,85.80873524593231,2.37120554342957,12.860089528665132,-0.0,14.926355916300988,5,0.8933333333333333,0.6,True,True,
20,25,20c_cap25_dem1-6,run_2026_07_08_175042,76.41928317586232,73.57120675115854,62.42843491492199,62.42843491492199,3.7269080608222276,15.145560781577203,-0.0,18.3080077167741,3,0.8933333333333332,0.72,True,True,
20,35,20c_cap35_dem1-6,run_2026_07_08_175042,59.15461536050903,54.300726488068705,53.99443072244089,53.99443072244089,8.205427155360603,0.5640730528625929,-0.0,8.723215604767537,2,0.9571428571428571,0.9428571428571428,True,True,
40,15,40c_cap15_dem1-6,run_2026_07_08_175042,438.2294521890991,437.06625433461943,359.78466439078204,359.3747093919813,0.2654312366887081,17.681893575034586,0.11394454499468819,17.993939568235916,10,0.9333333333333332,0.6,True,True,
40,25,40c_cap25_dem1-6,run_2026_07_08_175043,275.6317358727707,273.00541384229405,253.22184417396048,253.06930640563567,0.9528373146729954,7.246585109759715,0.06023878738518845,8.185715405989995,6,0.9333333333333332,0.68,True,True,
40,35,40c_cap35_dem1-6,run_2026_07_08_175043,213.77625161381098,208.13085439914883,208.13085439914883,208.13085439914883,2.64079717557244,-0.0,-0.0,2.64079717557244,4,1.0,1.0,True,True,
60,15,60c_cap15_dem1-6,run_2026_07_08_175043,995.9144547474212,991.850057253594,845.7628352632914,844.8704302650916,0.40810708936422585,14.728760755916484,0.10551480403155938,15.16636532006523,16,0.925,0.4,True,True,
60,25,60c_cap25_dem1-6,run_2026_07_08_175044,683.3114596618561,663.9363265866086,573.7540229787544,569.3717758519158,2.8354760923862585,13.582974751734753,0.7637849934519524,16.6746338289606,10,0.8879999999999999,0.24,True,True,
60,35,60c_cap35_dem1-6,run_2026_07_08_175044,528.2309975336186,512.026301853771,457.1259779403484,456.9478693607013,3.0677290343636674,10.722168707868745,0.03896269042717044,13.49468859376822,7,0.9061224489795918,0.6571428571428571,True,True,
80,15,80c_cap15_dem1-6,run_2026_07_08_175044,1479.603102424983,1468.0898087676874,1407.3602461203398,1406.9281666381887,0.7781339224300116,4.136638118775849,0.030701413042051564,4.911785847683365,19,0.9859649122807018,0.7333333333333333,True,True,
80,25,80c_cap25_dem1-6,run_2026_07_08_175045,1061.7696904647053,1035.6669776355745,930.4627115781046,927.4912240797756,2.458415705736179,10.158117264456092,0.3193558926492849,12.64666599459624,12,0.9366666666666666,0.52,True,True,
80,35,80c_cap35_dem1-6,run_2026_07_08_175045,849.3794611221097,824.092865608143,740.9967567963698,737.2279195456705,2.977066984944594,10.083342822104408,0.50861723970204,13.203938488020006,9,0.892063492063492,0.17142857142857143,True,True,
