customer_count,vehicle_capacity,instance_name,depot_setting,clustering_strategy,selected_run_timestamp,final_distance,n_routes,avg_utilisation,min_utilisation,max_utilisation,cluster_count,cluster_sizes,capacity_feasible,customer_coverage_feasible,structural_validity,distance_change_vs_no_clustering_pct,route_change_vs_no_clustering,utilisation_change_vs_no_clustering,notes_or_warnings
60,35,60c_cap35_dem1-6,central_depot,sweep,run_2026_07_09_020638,293.45181992658826,7,0.9061224489795918,0.7142857142857143,1.0,7,8|8|9|8|10|10|7,True,True,True,-7.313738120164305,0,-1.1102230246251565e-16,
80,15,80c_cap15_dem1-6,central_depot,kmeans,run_2026_07_09_022137,835.5723941938837,25,0.7493333333333334,0.0,1.0,19,7|3|1|4|5|5|6|8|7|4|2|2|4|1|3|2|4|8|4,True,True,True,-10.044729078442998,6,-0.23663157894736842,
80,15,80c_cap15_dem1-6,central_depot,no_clustering,run_2026_07_08_184621,928.8754128955061,19,0.9859649122807018,0.9333333333333333,1.0,,,True,True,True,,,,
80,15,80c_cap15_dem1-6,central_depot,sweep,run_2026_07_09_020639,865.0361610298744,22,0.8515151515151516,0.0,1.0,22,2|4|5|3|3|3|3|3|5|3|4|4|2|4|3|6|3|4|4|5|3|4,True,True,True,-6.872746439334733,3,-0.13444976076555026,
80,25,80c_cap25_dem1-6,central_depot,kmeans,run_2026_07_09_022138,586.6890752930389,17,0.6611764705882353,0.0,1.0,12,8|6|7|7|8|5|6|9|8|3|7|6,True,True,True,-2.497354643466374,5,-0.2754901960784316,
80,25,80c_cap25_dem1-6,central_depot,no_clustering,run_2026_07_08_184621,601.716059238925,12,0.9366666666666669,0.72,1.0,,,True,True,True,,,,
80,25,80c_cap25_dem1-6,central_depot,sweep,run_2026_07_09_020639,592.4132260196737,13,0.8646153846153848,0.0,1.0,13,6|8|5|5|8|7|5|6|8|6|8|5|3,True,True,True,-1.546050346573413,1,-0.07205128205128208,
80,35,80c_cap35_dem1-6,central_depot,kmeans,run_2026_07_09_022138,482.32742672000904,12,0.669047619047619,0.0,1.0,9,8|12|7|7|11|11|6|10|8,True,True,True,-4.558388716717554,3,-0.223015873015873,
80,35,80c_cap35_dem1-6,central_depot,no_clustering,run_2026_07_08_184622,505.36387665166495,9,0.892063492063492,0.3142857142857143,1.0,,,True,True,True,,,,
80,35,80c_cap35_dem1-6,central_depot,sweep,run_2026_07_09_020640,476.08764249353453,9,0.892063492063492,0.22857142857142856,1.0,9,11|8|9|11|8|11|9|10|3,True,True,True,-5.793099885196151,0,0.0,
20,15,20c_cap15_dem1-6,corner_depot,kmeans,run_2026_07_09_021818,86.39509797256046,7,0.6380952380952382,0.0,1.0,5,1|6|5|4|4,True,True,True,0.683336871179381,2,-0.25523809523809515,
20,15,20c_cap15_dem1-6,corner_depot,no_clustering,run_2026_07_08_175041,85.80873524593231,5,0.8933333333333333,0.6,1.0,,,True,True,True,,,,
20,15,20c_cap15_dem1-6,corner_depot,sweep,run_2026_07_09_015911,97.25634907184862,5,0.8933333333333333,0.6666666666666666,1.0,5,4|5|4|4|3,True,True,True,13.340849032568594,0,0.0,
20,25,20c_cap25_dem1-6,corner_depot,kmeans,run_2026_07_09_021819,62.64111532257233,4,0.67,0.0,1.0,3,5|7|8,True,True,True,0.3406787434927397,1,-0.22333333333333316,
20,25,20c_cap25_dem1-6,corner_depot,no_clustering,run_2026_07_08_175042,62.42843491492199,3,0.8933333333333332,0.72,1.0,,,True,True,True,,,,
20,25,20c_cap25_dem1-6,corner_depot,sweep,run_2026_07_09_015911,64.53603123255994,3,0.8933333333333332,0.76,0.96,3,7|6|7,True,True,True,3.3760197905172413,0,0.0,
20,35,20c_cap35_dem1-6,corner_depot,kmeans,run_2026_07_09_021819,58.18260508123587,3,0.638095238095238,0.4,0.9714285714285714,2,6|14,True,True,True,7.756678425455302,1,-0.319047619047619,
20,35,20c_cap35_dem1-6,corner_depot,no_clustering,run_2026_07_08_175042,53.99443072244089,2,0.9571428571428571,0.9428571428571428,0.9714285714285714,,,True,True,True,,,,
20,35,20c_cap35_dem1-6,corner_depot,sweep,run_2026_07_09_015911,48.51787777406706,3,0.638095238095238,0.0,1.0,3,10|9|1,True,True,True,-10.142810795665437,1,-0.319047619047619,
40,15,40c_cap15_dem1-6,corner_depot,kmeans,run_2026_07_09_021819,350.3803714743341,13,0.717948717948718,0.0,1.0,10,4|6|7|4|3|3|2|4|4|3,True,True,True,-2.502774313992365,3,-0.21538461538461529,
40,15,40c_cap15_dem1-6,corner_depot,no_clustering,run_2026_07_08_175042,359.3747093919813,10,0.9333333333333332,0.6,1.0,,,True,True,True,,,,
40,15,40c_cap15_dem1-6,corner_depot,sweep,run_2026_07_09_015912,364.1959939650667,11,0.8484848484848485,0.0,1.0,11,4|4|2|5|4|5|3|3|5|3|2,True,True,True,1.3415759225913324,1,-0.08484848484848473,
40,25,40c_cap25_dem1-6,corner_depot,kmeans,run_2026_07_09_021819,247.16171286174816,9,0.6222222222222222,0.0,1.0,6,6|7|10|8|5|4,True,True,True,-2.3343777354091473,3,-0.311111111111111,
40,25,40c_cap25_dem1-6,corner_depot,no_clustering,run_2026_07_08_175043,253.06930640563567,6,0.9333333333333332,0.68,1.0,,,True,True,True,,,,
40,25,40c_cap25_dem1-6,corner_depot,sweep,run_2026_07_09_015912,257.8409469825492,6,0.9333333333333332,0.76,1.0,6,8|7|7|5|8|5,True,True,True,1.8855074306266324,0,0.0,
40,35,40c_cap35_dem1-6,corner_depot,kmeans,run_2026_07_09_021820,192.32898366311278,5,0.7999999999999999,0.42857142857142855,1.0,4,6|9|17|8,True,True,True,-7.592276878723404,1,-0.20000000000000007,
40,35,40c_cap35_dem1-6,corner_depot,no_clustering,run_2026_07_08_175043,208.13085439914883,4,1.0,1.0,1.0,,,True,True,True,,,,
40,35,40c_cap35_dem1-6,corner_depot,sweep,run_2026_07_09_015912,211.65745714803805,5,0.7999999999999999,0.14285714285714285,1.0,5,10|12|8|9|1,True,True,True,1.694416120603616,1,-0.20000000000000007,
60,15,60c_cap15_dem1-6,corner_depot,kmeans,run_2026_07_09_021820,839.5840897373743,22,0.6727272727272727,0.0,1.0,15,5|3|4|3|6|3|3|4|7|4|1|3|4|7|3,True,True,True,-0.6256983720046496,6,-0.2522727272727273,
60,15,60c_cap15_dem1-6,corner_depot,no_clustering,run_2026_07_08_175043,844.8704302650916,16,0.925,0.4,1.0,,,True,True,True,,,,
60,15,60c_cap15_dem1-6,corner_depot,sweep,run_2026_07_09_015913,939.6936343812982,17,0.8705882352941178,0.0,1.0,17,4|3|4|3|4|6|2|4|5|2|3|4|4|5|3|3|1,True,True,True,11.223401922878793,1,-0.05441176470588227,
