customer_count,vehicle_capacity,base_selected_run_timestamp,wave14_selected_run_timestamp,base_dispatch_waves,wave14_dispatch_waves,base_total_system_distance,wave14_total_system_distance,wave14_minus_base_total_system_distance,wave14_minus_base_total_system_distance_pct,base_timing_feasible,wave14_timing_feasible,base_timing_infeasible_routes,wave14_timing_infeasible_routes,wave14_minus_base_timing_infeasible_routes,base_routes_exceeding_workday,wave14_routes_exceeding_workday,base_unresolved_repairs,wave14_unresolved_repairs,base_unresolved_customers_count,wave14_unresolved_customers_count,wave14_minus_base_unresolved_customers,base_latest_finish_time_label,wave14_latest_finish_time_label,base_latest_finish_time,wave14_latest_finish_time,wave14_minus_base_latest_finish_hours,base_total_routes,wave14_total_routes,wave14_minus_base_total_routes,base_depot_routes,wave14_depot_routes,wave14_minus_base_depot_routes,base_avg_waiting_time,wave14_avg_waiting_time,wave14_minus_base_avg_waiting_time,base_max_waiting_time,wave14_max_waiting_time,wave14_minus_base_max_waiting_time,base_customers_per_wave,wave14_customers_per_wave,base_routes_per_wave,wave14_routes_per_wave,notes_or_warnings
80,25,run_2026_07_17_201715,run_2026_07_17_212258,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",1148.9299630247156,1148.9299630247156,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,16:58,16:48,16.96651909167439,16.80097029103913,-0.16554880063526056,18,18,0.0,10,10,0.0,34,28,-6.0,105,90,-15.0,"{""09:00"": 10, ""11:00"": 17, ""13:00"": 22, ""15:00"": 2}","{""09:00"": 10, ""11:00"": 17, ""13:00"": 22, ""14:00"": 2, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 4, ""15:00"": 1}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 4, ""14:00"": 1}",
80,35,run_2026_07_17_201715,run_2026_07_17_212259,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",1011.4859000471055,1011.4859000471055,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,17:57,17:57,17.950363630996765,17.950363630996765,0.0,15,15,0.0,9,9,0.0,33,27,-6.0,105,90,-15.0,"{""09:00"": 10, ""11:00"": 17, ""13:00"": 22, ""15:00"": 2}","{""09:00"": 10, ""11:00"": 17, ""13:00"": 22, ""14:00"": 2, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 3, ""15:00"": 1}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 3, ""14:00"": 1}",
100,15,run_2026_07_17_201716,run_2026_07_17_212259,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",2257.7083726663295,2257.7083726663295,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,17:13,16:26,17.22216462773379,16.435882599568266,-0.7862820281655232,31,31,0.0,14,14,0.0,34,26,-8.0,105,45,-60.0,"{""09:00"": 10, ""11:00"": 22, ""13:00"": 28, ""15:00"": 4}","{""09:00"": 10, ""11:00"": 22, ""13:00"": 28, ""14:00"": 4, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 4, ""13:00"": 6, ""15:00"": 2}","{""09:00"": 2, ""11:00"": 4, ""13:00"": 6, ""14:00"": 2}",
100,25,run_2026_07_17_201716,run_2026_07_17_212300,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",1753.487371849026,1753.487371849026,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,17:44,17:44,17.74062193358359,17.74062193358359,0.0,22,22,0.0,12,12,0.0,36,26,-10.0,105,75,-30.0,"{""09:00"": 10, ""11:00"": 22, ""13:00"": 28, ""15:00"": 4}","{""09:00"": 10, ""11:00"": 22, ""13:00"": 28, ""14:00"": 4, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 5, ""15:00"": 2}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 5, ""14:00"": 2}",
100,35,run_2026_07_17_201717,run_2026_07_17_212300,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",1582.006811234781,1582.006811234781,0.0,0.0,True,True,0,0,0.0,0,0,0,0,0,0,0.0,17:13,17:03,17.22216462773379,17.056000825994182,-0.1661638017396072,21,21,0.0,13,13,0.0,42,32,-10.0,105,90,-15.0,"{""09:00"": 10, ""11:00"": 22, ""13:00"": 28, ""15:00"": 4}","{""09:00"": 10, ""11:00"": 22, ""13:00"": 28, ""14:00"": 4, ""15:00"": 0}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 6, ""15:00"": 2}","{""09:00"": 2, ""11:00"": 3, ""13:00"": 6, ""14:00"": 2}",
150,15,run_2026_07_17_201718,run_2026_07_17_212301,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",5031.558434352635,4965.640936704038,-65.91749764859742,-1.3100811310974751,True,True,0,0,0.0,0,0,0,0,0,0,0.0,17:57,17:57,17.950290731117722,17.950290731117722,0.0,50,48,-2.0,24,22,-2.0,38,21,-17.0,105,90,-15.0,"{""09:00"": 14, ""11:00"": 35, ""13:00"": 38, ""15:00"": 6}","{""09:00"": 14, ""11:00"": 35, ""13:00"": 38, ""14:00"": 6, ""15:00"": 0}","{""09:00"": 3, ""11:00"": 7, ""13:00"": 8, ""15:00"": 6}","{""09:00"": 3, ""11:00"": 7, ""13:00"": 8, ""14:00"": 4}",
150,25,run_2026_07_17_201718,run_2026_07_17_212301,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",3794.748056872987,3728.830559224389,-65.91749764859787,-1.7370717808052938,True,True,0,0,0.0,0,0,0,0,0,0,0.0,17:56,17:26,17.938544166453035,17.44027147787196,-0.4982726885810749,37,35,-2.0,21,19,-2.0,39,20,-19.0,105,75,-30.0,"{""09:00"": 14, ""11:00"": 35, ""13:00"": 38, ""15:00"": 6}","{""09:00"": 14, ""11:00"": 35, ""13:00"": 38, ""14:00"": 6, ""15:00"": 0}","{""09:00"": 3, ""11:00"": 4, ""13:00"": 8, ""15:00"": 6}","{""09:00"": 3, ""11:00"": 4, ""13:00"": 8, ""14:00"": 4}",
150,35,run_2026_07_17_201719,run_2026_07_17_212302,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",3365.370370871191,3299.452873222593,-65.91749764859787,-1.9586996492018756,True,True,0,0,0.0,0,0,0,0,0,0,0.0,17:56,17:56,17.938544166453035,17.92823393327227,-0.010310233180764072,31,29,-2.0,20,18,-2.0,44,23,-21.0,105,90,-15.0,"{""09:00"": 14, ""11:00"": 35, ""13:00"": 38, ""15:00"": 6}","{""09:00"": 14, ""11:00"": 35, ""13:00"": 38, ""14:00"": 6, ""15:00"": 0}","{""09:00"": 3, ""11:00"": 4, ""13:00"": 7, ""15:00"": 6}","{""09:00"": 3, ""11:00"": 4, ""13:00"": 7, ""14:00"": 4}",
200,15,run_2026_07_17_201720,run_2026_07_17_212303,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",9517.341075118862,9306.097227014863,-211.24384810399897,-2.219567907009792,False,True,5,0,-5.0,5,0,2,0,5,0,-5.0,18:52,17:55,18.86250333304849,17.92264973478155,-0.9398535982669394,73,70,-3.0,41,38,-3.0,40,26,-14.0,105,105,0.0,"{""09:00"": 19, ""11:00"": 47, ""13:00"": 55, ""15:00"": 10}","{""09:00"": 19, ""11:00"": 47, ""13:00"": 55, ""14:00"": 10, ""15:00"": 0}","{""09:00"": 4, ""11:00"": 10, ""13:00"": 18, ""15:00"": 9}","{""09:00"": 4, ""11:00"": 10, ""13:00"": 18, ""14:00"": 6}",timing infeasible | routes exceed working day | unresolved same-wave split repair remains | unresolved customers after wave repair
200,25,run_2026_07_17_201721,run_2026_07_17_212304,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",6939.669302338162,6728.425454234164,-211.24384810399806,-3.0440045325045144,False,True,5,0,-5.0,5,0,2,0,5,0,-5.0,18:52,17:55,18.86250333304849,17.92264973478155,-0.9398535982669394,51,48,-3.0,34,31,-3.0,41,23,-18.0,105,105,0.0,"{""09:00"": 19, ""11:00"": 47, ""13:00"": 55, ""15:00"": 10}","{""09:00"": 19, ""11:00"": 47, ""13:00"": 55, ""14:00"": 10, ""15:00"": 0}","{""09:00"": 3, ""11:00"": 7, ""13:00"": 15, ""15:00"": 9}","{""09:00"": 3, ""11:00"": 7, ""13:00"": 15, ""14:00"": 6}",timing infeasible | routes exceed working day | unresolved same-wave split repair remains | unresolved customers after wave repair
200,35,run_2026_07_17_201721,run_2026_07_17_212305,"[9.0, 11.0, 13.0, 15.0]","[9.0, 11.0, 13.0, 14.0, 15.0]",6438.666160462228,6227.42231235823,-211.24384810399806,-3.2808635024623327,False,True,5,0,-5.0,5,0,2,0,5,0,-5.0,18:52,17:59,18.86250333304849,17.976241594392725,-0.8862617386557652,49,46,-3.0,36,33,-3.0,43,27,-16.0,105,90,-15.0,"{""09:00"": 19, ""11:00"": 47, ""13:00"": 55, ""15:00"": 10}","{""09:00"": 19, ""11:00"": 47, ""13:00"": 55, ""14:00"": 10, ""15:00"": 0}","{""09:00"": 3, ""11:00"": 8, ""13:00"": 16, ""15:00"": 9}","{""09:00"": 3, ""11:00"": 8, ""13:00"": 16, ""14:00"": 6}",timing infeasible | routes exceed working day | unresolved same-wave split repair remains | unresolved customers after wave repair
