timing_lns_scenario,operator_pair,row_count,timing_feasible_row_count,warning_row_count,avg_baseline_reference_system_distance,avg_total_lns_system_distance,avg_system_improvement_percent,avg_customer_delivery_lns_distance,avg_customer_delivery_improvement_percent,avg_n_remove,avg_accepted_moves,avg_rejected_moves,avg_rejected_infeasible_moves,avg_acceptance_rate,avg_lns_avg_utilization,avg_n_routes
fixed_split,random_regret,21,21,0,1768.9393056129215,1711.9289947421582,4.419307872452938,1322.9766137897773,5.621302186283341,12.238095238095237,98.85714285714286,101.14285714285714,0.0,1.977142857142857,0.7708959076911494,17.952380952380953
fixed_split,related_regret,21,21,0,1768.9393056129215,1709.6241557432797,4.6322141623583,1320.6717747908988,5.890328314675943,11.047619047619047,93.71428571428571,106.28571428571429,0.0,1.8742857142857143,0.7779196435424379,17.80952380952381
wave_speed30_14wave_split,random_regret,21,21,0,2257.0596476134724,2119.2741516587403,5.464744469362073,1730.3217707063593,6.545281312613817,7.190476190476191,231.33333333333334,111.52380952380952,0.0,4.626666666666667,0.632584130185158,22.142857142857142
wave_speed30_14wave_split,related_regret,21,21,0,2257.0596476134724,2130.4288291358007,5.134670250836323,1741.47644818342,6.14575328934068,5.333333333333333,246.14285714285714,96.71428571428571,0.0,4.922857142857143,0.6335419223929503,22.095238095238095
wave_speed40_split,random_regret,21,21,0,2160.4349557675578,2041.0307986880991,5.339339945765055,1652.0784177357182,6.40962551065227,6.857142857142857,239.66666666666666,103.19047619047619,0.0,4.793333333333333,0.6549892552763604,21.047619047619047
wave_speed40_split,related_regret,21,21,0,2160.4349557675578,2048.106220325614,5.058560217525876,1659.1538393732328,6.069597058348687,5.857142857142857,246.71428571428572,96.14285714285714,0.0,4.934285714285714,0.6578337051106234,20.904761904761905
