timing_lns_scenario,operator_pair,instance_name,customer_count,vehicle_capacity,baseline_reference_scenario,baseline_run_path,baseline_reference_system_distance,total_lns_system_distance,system_improvement_distance,system_improvement_percent,baseline_reference_customer_delivery_distance,customer_delivery_lns_distance,customer_delivery_improvement_distance,customer_delivery_improvement_percent,supplier_depot_replenishment_distance,depot_timing_feasibility_after_lns,n_depot_timing_infeasible_routes,latest_depot_route_finish_time_after_lns_label,n_remove,rejected_infeasible_moves,notes_or_warnings
fixed_split,random_regret,20c_cap15,20,15,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/20c_cap15/run_2026_07_16_190958,114.78113835043219,108.21746207443732,6.563676275994865,5.718427583420243,90.78113835043219,84.21746207443732,6.563676275994865,7.230220280624645,24.0,True,0,10:45,3,0,
fixed_split,random_regret,20c_cap25,20,25,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/20c_cap25/run_2026_07_16_190958,97.43109878717637,90.75822855161768,6.67287023555869,6.848809382858932,73.43109878717637,66.75822855161768,6.67287023555869,9.08725369192488,24.0,True,0,10:58,5,0,
fixed_split,random_regret,20c_cap35,20,35,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/20c_cap35/run_2026_07_16_190958,97.43109878717637,86.77406702661598,10.657031760560386,10.938018654432991,73.43109878717637,62.77406702661598,10.657031760560386,14.512967852282058,24.0,True,0,12:12,3,0,
fixed_split,random_regret,40c_cap15,40,15,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/40c_cap15/run_2026_07_16_190959,388.99911567690134,378.8707640827188,10.128351594182561,2.603695274874369,292.99911567690134,282.8707640827188,10.128351594182561,3.4567857212754833,96.0,True,0,11:13,6,0,
fixed_split,random_regret,40c_cap25,40,25,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/40c_cap25/run_2026_07_16_190959,263.18474879574904,254.47961641307649,8.70513238267256,3.307612778667654,215.18474879574904,206.47961641307649,8.70513238267256,4.0454225642800425,48.0,True,0,11:50,5,0,
fixed_split,random_regret,40c_cap35,40,35,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/40c_cap35/run_2026_07_16_191000,252.62300192541986,233.1465666365013,19.476435288918566,7.709684051125502,204.62300192541986,185.1465666365013,19.476435288918566,9.518204261326034,48.0,True,0,12:44,2,0,
fixed_split,random_regret,60c_cap15,60,15,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/60c_cap15/run_2026_07_16_191000,854.5752543717753,830.0900319492309,24.485222422544325,2.8651920702459575,662.5752543717753,638.0900319492309,24.485222422544325,3.695462856632057,192.0,True,0,12:11,13,0,
fixed_split,random_regret,60c_cap25,60,25,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/60c_cap25/run_2026_07_16_191000,610.5700029166521,575.5461611703354,35.02384174631675,5.736253268095418,490.5700029166522,455.5461611703353,35.02384174631686,7.139417725927977,120.0,True,0,12:43,11,0,
fixed_split,random_regret,60c_cap35,60,35,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/60c_cap35/run_2026_07_16_191001,485.68962645828617,460.05139427528934,25.63823218299683,5.278727563105321,413.68962645828617,388.05139427528934,25.63823218299683,6.197455904923936,72.0,True,0,13:28,9,0,
fixed_split,random_regret,80c_cap15,80,15,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/80c_cap15/run_2026_07_16_191002,1367.172588688274,1307.9784385015103,59.194150186763636,4.32967649267728,1079.172588688274,1019.9784385015103,59.194150186763636,5.485142117880669,288.0,True,0,12:01,5,0,
fixed_split,random_regret,80c_cap25,80,25,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/80c_cap25/run_2026_07_16_191002,937.7449181373408,898.7566197509722,38.98829838636868,4.157665654303072,745.7449181373408,706.7566197509722,38.98829838636868,5.228101115827968,192.0,True,0,13:29,15,0,
fixed_split,random_regret,80c_cap35,80,35,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/80c_cap35/run_2026_07_16_191003,780.3949986042885,764.9642515532304,15.43074705105812,1.9772995827312474,620.3949986042885,604.9642515532304,15.43074705105812,2.4872455590023925,160.0,True,0,13:57,16,0,
fixed_split,random_regret,100c_cap15,100,15,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/100c_cap15/run_2026_07_16_191003,1988.3882132372098,1926.5764910870855,61.8117221501243,3.1086345080215136,1548.3882132372098,1486.5764910870855,61.8117221501243,3.992004177098116,440.0,True,0,12:44,13,0,
fixed_split,random_regret,100c_cap25,100,25,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/100c_cap25/run_2026_07_16_191004,1427.8336358545364,1373.0484596100048,54.78517624453161,3.836943945625957,1107.8336358545364,1053.0484596100048,54.78517624453161,4.945253011953607,320.0,True,0,13:19,9,0,
fixed_split,random_regret,100c_cap35,100,35,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/100c_cap35/run_2026_07_16_191005,1180.2984713334815,1101.9290122102143,78.36945912326723,6.639800103674347,940.2984713334815,861.9290122102142,78.36945912326735,8.334530100014724,240.0,True,0,14:50,25,0,
